Annotation	Gene	Input
GO:0019904_protein domain specific binding	Abl1	1	
GO:0019905_syntaxin binding	Abl1	1	
GO:0030145_manganese ion binding	Abl1	1	
GO:0030145_manganese ion binding	Abl1	1	
GO:0042169_SH2 domain binding	Abl1	1	
GO:0046872_metal ion binding	Abl1	1	
GO:0046875_ephrin receptor binding	Abl1	1	
GO:0051015_actin filament binding	Abl1	1	
GO:0051019_mitogen-activated protein kinase binding	Abl1	1	
GO:0070064_proline-rich region binding	Abl1	1	
GO:0070097_delta-catenin binding	Abl1	1	
GO:0000166_nucleotide binding	Abl2	1	
GO:0000287_magnesium ion binding	Abl2	1	
GO:0000287_magnesium ion binding	Abl2	1	
GO:0001784_phosphotyrosine binding	Abl2	1	
GO:0004672_protein kinase activity	Abl2	1	
GO:0004713_protein tyrosine kinase activity	Abl2	1	
GO:0004713_protein tyrosine kinase activity	Abl2	1	
GO:0004713_protein tyrosine kinase activity	Abl2	1	
GO:0004713_protein tyrosine kinase activity	Abl2	1	
GO:0004715_non-membrane spanning protein tyrosine kinase activity	Abl2	1	
GO:0005102_receptor binding	Abl2	1	
GO:0005515_protein binding	Abl2	1	
GO:0005524_ATP binding	Abl2	1	
GO:0016301_kinase activity	Abl2	1	
GO:0016740_transferase activity	Abl2	1	
GO:0030145_manganese ion binding	Abl2	1	
GO:0030145_manganese ion binding	Abl2	1	
GO:0046872_metal ion binding	Abl2	1	
GO:0005496_steroid binding	Scgb1b27	1	
GO:0000062_fatty-acyl-CoA binding	Acadl	1	
GO:0003995_acyl-CoA dehydrogenase activity	Acadl	1	
GO:0004466_long-chain-acyl-CoA dehydrogenase activity	Acadl	1	
GO:0004466_long-chain-acyl-CoA dehydrogenase activity	Acadl	1	
GO:0016401_palmitoyl-CoA oxidase activity	Acadl	1	
GO:0016491_oxidoreductase activity	Acadl	1	
GO:0016627_oxidoreductase activity, acting on the CH-CH group of donors	Acadl	1	
GO:0050660_flavin adenine dinucleotide binding	Acadl	1	
GO:0000062_fatty-acyl-CoA binding	Acadm	1	
GO:0003995_acyl-CoA dehydrogenase activity	Acadm	1	
GO:0016491_oxidoreductase activity	Acadm	1	
GO:0016627_oxidoreductase activity, acting on the CH-CH group of donors	Acadm	1	
GO:0016853_isomerase activity	Acadm	1	
GO:0042802_identical protein binding	Acadm	1	
GO:0050660_flavin adenine dinucleotide binding	Acadm	1	
GO:0070991_medium-chain-acyl-CoA dehydrogenase activity	Acadm	1	
GO:0070991_medium-chain-acyl-CoA dehydrogenase activity	Acadm	1	
GO:0000062_fatty-acyl-CoA binding	Acadvl	1	
GO:0003995_acyl-CoA dehydrogenase activity	Acadvl	1	
GO:0004466_long-chain-acyl-CoA dehydrogenase activity	Acadvl	1	
GO:0016491_oxidoreductase activity	Acadvl	1	
GO:0016627_oxidoreductase activity, acting on the CH-CH group of donors	Acadvl	1	
GO:0017099_very-long-chain-acyl-CoA dehydrogenase activity	Acadvl	1	
GO:0050660_flavin adenine dinucleotide binding	Acadvl	1	
GO:0000062_fatty-acyl-CoA binding	Acads	1	
GO:0003995_acyl-CoA dehydrogenase activity	Acads	1	
GO:0004085_butyryl-CoA dehydrogenase activity	Acads	1	
GO:0016491_oxidoreductase activity	Acads	1	
GO:0016627_oxidoreductase activity, acting on the CH-CH group of donors	Acads	1	
GO:0050660_flavin adenine dinucleotide binding	Acads	1	
GO:0008521_acetyl-CoA transporter activity	Slc33a1	1	
GO:0015295_solute:proton symporter activity	Slc33a1	1	
GO:0005216_ion channel activity	Asic2	1	
GO:0005216_ion channel activity	Asic2	1	
GO:0005248_voltage-gated sodium channel activity	Asic2	1	
GO:0005261_cation channel activity	Asic2	1	
GO:0005261_cation channel activity	Asic2	1	
GO:0005272_sodium channel activity	Asic2	1	
GO:0005515_protein binding	Asic2	1	
GO:0015280_ligand-gated sodium channel activity	Asic2	1	
GO:0022839_ion gated channel activity	Asic2	1	
GO:0022839_ion gated channel activity	Asic2	1	
GO:0005216_ion channel activity	Asic1	1	
GO:0005261_cation channel activity	Asic1	1	
GO:0005261_cation channel activity	Asic1	1	
GO:0005272_sodium channel activity	Asic1	1	
GO:0005515_protein binding	Asic1	1	
GO:0015077_monovalent inorganic cation transmembrane transporter activity	Asic1	1	
GO:0015280_ligand-gated sodium channel activity	Asic1	1	
GO:0022839_ion gated channel activity	Asic1	1	
GO:0022839_ion gated channel activity	Asic1	1	
GO:0044736_acid-sensing ion channel activity	Asic1	1	
GO:0044736_acid-sensing ion channel activity	Asic1	1	
GO:0003779_actin binding	Ace	1	
GO:0004175_endopeptidase activity	Ace	1	
GO:0004180_carboxypeptidase activity	Ace	1	
GO:0005515_protein binding	Ace	1	
GO:0008144_drug binding	Ace	1	
GO:0008233_peptidase activity	Ace	1	
GO:0008237_metallopeptidase activity	Ace	1	
GO:0008237_metallopeptidase activity	Ace	1	
GO:0008238_exopeptidase activity	Ace	1	
GO:0008240_tripeptidyl-peptidase activity	Ace	1	
GO:0008241_peptidyl-dipeptidase activity	Ace	1	
GO:0008241_peptidyl-dipeptidase activity	Ace	1	
GO:0008270_zinc ion binding	Ace	1	
GO:0016787_hydrolase activity	Ace	1	
GO:0031404_chloride ion binding	Ace	1	
GO:0031434_mitogen-activated protein kinase kinase binding	Ace	1	
GO:0031711_bradykinin receptor binding	Ace	1	
GO:0046872_metal ion binding	Ace	1	
GO:0051019_mitogen-activated protein kinase binding	Ace	1	
GO:0070573_metallodipeptidase activity	Ace	1	
GO:0003990_acetylcholinesterase activity	Ache	1	
GO:0003990_acetylcholinesterase activity	Ache	1	
GO:0004104_cholinesterase activity	Ache	1	
GO:0005515_protein binding	Ache	1	
GO:0005518_collagen binding	Ache	1	
GO:0016787_hydrolase activity	Ache	1	
GO:0017171_serine hydrolase activity	Ache	1	
GO:0033265_choline binding	Ache	1	
GO:0042166_acetylcholine binding	Ache	1	
GO:0042803_protein homodimerization activity	Ache	1	
GO:0043236_laminin binding	Ache	1	
GO:0043236_laminin binding	Ache	1	
GO:0043621_protein self-association	Ache	1	
GO:0052689_carboxylic ester hydrolase activity	Ache	1	
GO:0005319_lipid transporter activity	Apoc4	1	
GO:0003779_actin binding	Macf1	1	
GO:0005509_calcium ion binding	Macf1	1	
GO:0005515_protein binding	Macf1	1	
GO:0008017_microtubule binding	Macf1	1	
GO:0016887_ATPase activity	Macf1	1	
GO:0046872_metal ion binding	Macf1	1	
GO:0003723_RNA binding	Aco1	1	
GO:0003994_aconitate hydratase activity	Aco1	1	
GO:0003994_aconitate hydratase activity	Aco1	1	
GO:0016829_lyase activity	Aco1	1	
GO:0030350_iron-responsive element binding	Aco1	1	
GO:0030350_iron-responsive element binding	Aco1	1	
GO:0046872_metal ion binding	Aco1	1	
GO:0048027_mRNA 5'-UTR binding	Aco1	1	
GO:0051536_iron-sulfur cluster binding	Aco1	1	
GO:0051538_3 iron, 4 sulfur cluster binding	Aco1	1	
GO:0051539_4 iron, 4 sulfur cluster binding	Aco1	1	
GO:0003994_aconitate hydratase activity	Aco2	1	
GO:0003994_aconitate hydratase activity	Aco2	1	
GO:0005506_iron ion binding	Aco2	1	
GO:0016829_lyase activity	Aco2	1	
GO:0046872_metal ion binding	Aco2	1	
GO:0051536_iron-sulfur cluster binding	Aco2	1	
GO:0051538_3 iron, 4 sulfur cluster binding	Aco2	1	
GO:0051539_4 iron, 4 sulfur cluster binding	Aco2	1	
GO:0003995_acyl-CoA dehydrogenase activity	Acox1	1	
GO:0003997_acyl-CoA oxidase activity	Acox1	1	
GO:0003997_acyl-CoA oxidase activity	Acox1	1	
GO:0005102_receptor binding	Acox1	1	
GO:0005504_fatty acid binding	Acox1	1	
GO:0016401_palmitoyl-CoA oxidase activity	Acox1	1	
GO:0016491_oxidoreductase activity	Acox1	1	
GO:0016627_oxidoreductase activity, acting on the CH-CH group of donors	Acox1	1	
GO:0030165_PDZ domain binding	Acox1	1	
GO:0042803_protein homodimerization activity	Acox1	1	
GO:0047485_protein N-terminus binding	Acox1	1	
GO:0050660_flavin adenine dinucleotide binding	Acox1	1	
GO:0071949_FAD binding	Acox1	1	
GO:0003993_acid phosphatase activity	Acp1	1	
GO:0004721_phosphoprotein phosphatase activity	Acp1	1	
GO:0004725_protein tyrosine phosphatase activity	Acp1	1	
GO:0004726_non-membrane spanning protein tyrosine phosphatase activity	Acp1	1	
GO:0016787_hydrolase activity	Acp1	1	
GO:0016791_phosphatase activity	Acp1	1	
GO:0001784_phosphotyrosine binding	Acp2	1	
GO:0003993_acid phosphatase activity	Acp2	1	
GO:0003993_acid phosphatase activity	Acp2	1	
GO:0003993_acid phosphatase activity	Acp2	1	
GO:0004721_phosphoprotein phosphatase activity	Acp2	1	
GO:0016787_hydrolase activity	Acp2	1	
GO:0003993_acid phosphatase activity	Acp5	1	
GO:0003993_acid phosphatase activity	Acp5	1	
GO:0016787_hydrolase activity	Acp5	1	
GO:0046872_metal ion binding	Acp5	1	
GO:0004252_serine-type endopeptidase activity	Acr	1	
GO:0004252_serine-type endopeptidase activity	Acr	1	
GO:0005515_protein binding	Acr	1	
GO:0005537_mannose binding	Acr	1	
GO:0008233_peptidase activity	Acr	1	
GO:0008236_serine-type peptidase activity	Acr	1	
GO:0016787_hydrolase activity	Acr	1	
GO:0005216_ion channel activity	Chrna1	1	
GO:0005230_extracellular ligand-gated ion channel activity	Chrna1	1	
GO:0005515_protein binding	Chrna1	1	
GO:0015464_acetylcholine receptor activity	Chrna1	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrna1	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrna1	1	
GO:0042166_acetylcholine binding	Chrna1	1	
GO:0005216_ion channel activity	Chrna4	1	
GO:0005230_extracellular ligand-gated ion channel activity	Chrna4	1	
GO:0005515_protein binding	Chrna4	1	
GO:0008144_drug binding	Chrna4	1	
GO:0015464_acetylcholine receptor activity	Chrna4	1	
GO:0015464_acetylcholine receptor activity	Chrna4	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrna4	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrna4	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrna4	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrna4	1	
GO:0042166_acetylcholine binding	Chrna4	1	
GO:0042166_acetylcholine binding	Chrna4	1	
GO:0046982_protein heterodimerization activity	Chrna4	1	
GO:0005216_ion channel activity	Chrna6	1	
GO:0005230_extracellular ligand-gated ion channel activity	Chrna6	1	
GO:0005515_protein binding	Chrna6	1	
GO:0008144_drug binding	Chrna6	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrna6	1	
GO:0042166_acetylcholine binding	Chrna6	1	
GO:0001540_beta-amyloid binding	Chrna7	1	
GO:0005216_ion channel activity	Chrna7	1	
GO:0005230_extracellular ligand-gated ion channel activity	Chrna7	1	
GO:0005515_protein binding	Chrna7	1	
GO:0008144_drug binding	Chrna7	1	
GO:0008179_adenylate cyclase binding	Chrna7	1	
GO:0015276_ligand-gated ion channel activity	Chrna7	1	
GO:0015464_acetylcholine receptor activity	Chrna7	1	
GO:0015643_toxic substance binding	Chrna7	1	
GO:0017081_chloride channel regulator activity	Chrna7	1	
GO:0019901_protein kinase binding	Chrna7	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrna7	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrna7	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrna7	1	
GO:0042166_acetylcholine binding	Chrna7	1	
GO:0042803_protein homodimerization activity	Chrna7	1	
GO:0051117_ATPase binding	Chrna7	1	
GO:0097110_scaffold protein binding	Chrna7	1	
GO:0005216_ion channel activity	Chrnb1	1	
GO:0005230_extracellular ligand-gated ion channel activity	Chrnb1	1	
GO:0005515_protein binding	Chrnb1	1	
GO:0015267_channel activity	Chrnb1	1	
GO:0015276_ligand-gated ion channel activity	Chrnb1	1	
GO:0015464_acetylcholine receptor activity	Chrnb1	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrnb1	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrnb1	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrnb1	1	
GO:0042166_acetylcholine binding	Chrnb1	1	
GO:0005216_ion channel activity	Chrnb2	1	
GO:0005230_extracellular ligand-gated ion channel activity	Chrnb2	1	
GO:0005515_protein binding	Chrnb2	1	
GO:0008144_drug binding	Chrnb2	1	
GO:0015464_acetylcholine receptor activity	Chrnb2	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrnb2	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrnb2	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrnb2	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrnb2	1	
GO:0042166_acetylcholine binding	Chrnb2	1	
GO:0042166_acetylcholine binding	Chrnb2	1	
GO:0046982_protein heterodimerization activity	Chrnb2	1	
GO:0005216_ion channel activity	Chrnd	1	
GO:0005230_extracellular ligand-gated ion channel activity	Chrnd	1	
GO:0005515_protein binding	Chrnd	1	
GO:0015276_ligand-gated ion channel activity	Chrnd	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrnd	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrnd	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrnd	1	
GO:0042166_acetylcholine binding	Chrnd	1	
GO:0005216_ion channel activity	Chrne	1	
GO:0005230_extracellular ligand-gated ion channel activity	Chrne	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrne	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrne	1	
GO:0042166_acetylcholine binding	Chrne	1	
GO:0005216_ion channel activity	Chrng	1	
GO:0005230_extracellular ligand-gated ion channel activity	Chrng	1	
GO:0005515_protein binding	Chrng	1	
GO:0015276_ligand-gated ion channel activity	Chrng	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrng	1	
GO:0022848_acetylcholine-gated cation-selective channel activity	Chrng	1	
GO:0042166_acetylcholine binding	Chrng	1	
GO:0005102_receptor binding	Adipoq	1	
GO:0005179_hormone activity	Adipoq	1	
GO:0005179_hormone activity	Adipoq	1	
GO:0005179_hormone activity	Adipoq	1	
GO:0005515_protein binding	Adipoq	1	
GO:0033691_sialic acid binding	Adipoq	1	
GO:0042802_identical protein binding	Adipoq	1	
GO:0042803_protein homodimerization activity	Adipoq	1	
GO:0000166_nucleotide binding	Acta1	1	
GO:0005515_protein binding	Acta1	1	
GO:0005524_ATP binding	Acta1	1	
GO:0000166_nucleotide binding	Actb	1	
GO:0000978_RNA polymerase II core promoter proximal region sequence-specific DNA binding	Actb	1	
GO:0000980_RNA polymerase II distal enhancer sequence-specific DNA binding	Actb	1	
GO:0005515_protein binding	Actb	1	
GO:0005524_ATP binding	Actb	1	
GO:0019894_kinesin binding	Actb	1	
GO:0019901_protein kinase binding	Actb	1	
GO:0030957_Tat protein binding	Actb	1	
GO:0031492_nucleosomal DNA binding	Actb	1	
GO:0042802_identical protein binding	Actb	1	
GO:0050998_nitric-oxide synthase binding	Actb	1	
GO:0098973_structural constituent of postsynaptic actin cytoskeleton	Actb	1	
GO:0000166_nucleotide binding	Actc1	1	
GO:0005515_protein binding	Actc1	1	
GO:0005524_ATP binding	Actc1	1	
GO:0016887_ATPase activity	Actc1	1	
GO:0017022_myosin binding	Actc1	1	
GO:0000166_nucleotide binding	Actg1	1	
GO:0005200_structural constituent of cytoskeleton	Actg1	1	
GO:0005515_protein binding	Actg1	1	
GO:0005524_ATP binding	Actg1	1	
GO:0031625_ubiquitin protein ligase binding	Actg1	1	
GO:0042802_identical protein binding	Actg1	1	
GO:0000166_nucleotide binding	Actg2	1	
GO:0005524_ATP binding	Actg2	1	
GO:0003779_actin binding	Actn2	1	
GO:0005509_calcium ion binding	Actn2	1	
GO:0005515_protein binding	Actn2	1	
GO:0005546_phosphatidylinositol-4,5-bisphosphate binding	Actn2	1	
GO:0008092_cytoskeletal protein binding	Actn2	1	
GO:0008092_cytoskeletal protein binding	Actn2	1	
GO:0019904_protein domain specific binding	Actn2	1	
GO:0030274_LIM domain binding	Actn2	1	
GO:0030374_ligand-dependent nuclear receptor transcription coactivator activity	Actn2	1	
GO:0030375_thyroid hormone receptor coactivator activity	Actn2	1	
GO:0030674_protein binding, bridging	Actn2	1	
GO:0031432_titin binding	Actn2	1	
GO:0042802_identical protein binding	Actn2	1	
GO:0042803_protein homodimerization activity	Actn2	1	
GO:0042803_protein homodimerization activity	Actn2	1	
GO:0044325_ion channel binding	Actn2	1	
GO:0044325_ion channel binding	Actn2	1	
GO:0046872_metal ion binding	Actn2	1	
GO:0046983_protein dimerization activity	Actn2	1	
GO:0051015_actin filament binding	Actn2	1	
GO:0051015_actin filament binding	Actn2	1	
GO:0051373_FATZ binding	Actn2	1	
GO:0070080_titin Z domain binding	Actn2	1	
GO:0003779_actin binding	Actn3	1	
GO:0005509_calcium ion binding	Actn3	1	
GO:0005515_protein binding	Actn3	1	
GO:0030674_protein binding, bridging	Actn3	1	
GO:0042803_protein homodimerization activity	Actn3	1	
GO:0046872_metal ion binding	Actn3	1	
GO:0051015_actin filament binding	Actn3	1	
GO:0051015_actin filament binding	Actn3	1	
GO:0000166_nucleotide binding	Acta2	1	
GO:0005515_protein binding	Acta2	1	
GO:0005524_ATP binding	Acta2	1	
GO:0019901_protein kinase binding	Acta2	1	
GO:0000166_nucleotide binding	Acvr1	1	
GO:0004672_protein kinase activity	Acvr1	1	
GO:0004674_protein serine/threonine kinase activity	Acvr1	1	
GO:0004675_transmembrane receptor protein serine/threonine kinase activity	Acvr1	1	
GO:0004702_signal transducer, downstream of receptor, with serine/threonine kinase activity	Acvr1	1	
GO:0005025_transforming growth factor beta receptor activity, type I	Acvr1	1	
GO:0005515_protein binding	Acvr1	1	
GO:0005524_ATP binding	Acvr1	1	
GO:0016301_kinase activity	Acvr1	1	
GO:0016361_activin receptor activity, type I	Acvr1	1	
GO:0016361_activin receptor activity, type I	Acvr1	1	
GO:0016361_activin receptor activity, type I	Acvr1	1	
GO:0016740_transferase activity	Acvr1	1	
GO:0019838_growth factor binding	Acvr1	1	
GO:0042803_protein homodimerization activity	Acvr1	1	
GO:0046332_SMAD binding	Acvr1	1	
GO:0046872_metal ion binding	Acvr1	1	
GO:0048185_activin binding	Acvr1	1	
GO:0048185_activin binding	Acvr1	1	
GO:0050431_transforming growth factor beta binding	Acvr1	1	
GO:0050431_transforming growth factor beta binding	Acvr1	1	
GO:0000166_nucleotide binding	Acvr1b	1	
GO:0004672_protein kinase activity	Acvr1b	1	
GO:0004674_protein serine/threonine kinase activity	Acvr1b	1	
GO:0004674_protein serine/threonine kinase activity	Acvr1b	1	
GO:0004675_transmembrane receptor protein serine/threonine kinase activity	Acvr1b	1	
GO:0004702_signal transducer, downstream of receptor, with serine/threonine kinase activity	Acvr1b	1	
GO:0005515_protein binding	Acvr1b	1	
GO:0005524_ATP binding	Acvr1b	1	
GO:0016301_kinase activity	Acvr1b	1	
GO:0016361_activin receptor activity, type I	Acvr1b	1	
GO:0016740_transferase activity	Acvr1b	1	
GO:0017002_activin-activated receptor activity	Acvr1b	1	
GO:0019838_growth factor binding	Acvr1b	1	
GO:0034711_inhibin binding	Acvr1b	1	
GO:0046332_SMAD binding	Acvr1b	1	
GO:0046872_metal ion binding	Acvr1b	1	
GO:0048185_activin binding	Acvr1b	1	
GO:0048185_activin binding	Acvr1b	1	
GO:0000166_nucleotide binding	Acvr2a	1	
GO:0004672_protein kinase activity	Acvr2a	1	
GO:0004674_protein serine/threonine kinase activity	Acvr2a	1	
GO:0004675_transmembrane receptor protein serine/threonine kinase activity	Acvr2a	1	
GO:0004702_signal transducer, downstream of receptor, with serine/threonine kinase activity	Acvr2a	1	
GO:0005515_protein binding	Acvr2a	1	
GO:0005524_ATP binding	Acvr2a	1	
GO:0015026_coreceptor activity	Acvr2a	1	
GO:0016301_kinase activity	Acvr2a	1	
GO:0016362_activin receptor activity, type II	Acvr2a	1	
GO:0016740_transferase activity	Acvr2a	1	
GO:0017002_activin-activated receptor activity	Acvr2a	1	
GO:0019838_growth factor binding	Acvr2a	1	
GO:0019838_growth factor binding	Acvr2a	1	
GO:0030165_PDZ domain binding	Acvr2a	1	
GO:0034711_inhibin binding	Acvr2a	1	
GO:0034711_inhibin binding	Acvr2a	1	
GO:0043621_protein self-association	Acvr2a	1	
GO:0046872_metal ion binding	Acvr2a	1	
GO:0048185_activin binding	Acvr2a	1	
GO:0048185_activin binding	Acvr2a	1	
GO:0048185_activin binding	Acvr2a	1	
GO:0098821_BMP receptor activity	Acvr2a	1	
GO:0000166_nucleotide binding	Acvr2b	1	
GO:0004672_protein kinase activity	Acvr2b	1	
GO:0004674_protein serine/threonine kinase activity	Acvr2b	1	
GO:0004674_protein serine/threonine kinase activity	Acvr2b	1	
GO:0004675_transmembrane receptor protein serine/threonine kinase activity	Acvr2b	1	
GO:0004702_signal transducer, downstream of receptor, with serine/threonine kinase activity	Acvr2b	1	
GO:0004712_protein serine/threonine/tyrosine kinase activity	Acvr2b	1	
GO:0005515_protein binding	Acvr2b	1	
GO:0005524_ATP binding	Acvr2b	1	
GO:0016301_kinase activity	Acvr2b	1	
GO:0016740_transferase activity	Acvr2b	1	
GO:0019838_growth factor binding	Acvr2b	1	
GO:0019838_growth factor binding	Acvr2b	1	
GO:0019838_growth factor binding	Acvr2b	1	
GO:0034711_inhibin binding	Acvr2b	1	
GO:0046872_metal ion binding	Acvr2b	1	
GO:0048185_activin binding	Acvr2b	1	
GO:0048185_activin binding	Acvr2b	1	
GO:0048185_activin binding	Acvr2b	1	
GO:0050431_transforming growth factor beta binding	Acvr2b	1	
GO:0000166_nucleotide binding	Acvrl1	1	
GO:0004672_protein kinase activity	Acvrl1	1	
GO:0004674_protein serine/threonine kinase activity	Acvrl1	1	
GO:0004675_transmembrane receptor protein serine/threonine kinase activity	Acvrl1	1	
GO:0004702_signal transducer, downstream of receptor, with serine/threonine kinase activity	Acvrl1	1	
GO:0005024_transforming growth factor beta-activated receptor activity	Acvrl1	1	
GO:0005025_transforming growth factor beta receptor activity, type I	Acvrl1	1	
GO:0005025_transforming growth factor beta receptor activity, type I	Acvrl1	1	
GO:0005515_protein binding	Acvrl1	1	
GO:0005524_ATP binding	Acvrl1	1	
GO:0016301_kinase activity	Acvrl1	1	
GO:0016361_activin receptor activity, type I	Acvrl1	1	
GO:0016740_transferase activity	Acvrl1	1	
