Annotation	Gene	Input
GO:0016604_nuclear body	Abl1	1	
GO:0030425_dendrite	Abl1	1	
GO:0030426_growth cone	Abl1	1	
GO:0031234_extrinsic component of cytoplasmic side of plasma membrane	Abl1	1	
GO:0031252_cell leading edge	Abl1	1	
GO:0043005_neuron projection	Abl1	1	
GO:0043025_neuronal cell body	Abl1	1	
GO:0043234_protein complex	Abl1	1	
GO:0045202_synapse	Abl1	1	
GO:0048471_perinuclear region of cytoplasm	Abl1	1	
GO:0001891_phagocytic cup	Abl2	1	
GO:0005737_cytoplasm	Abl2	1	
GO:0005856_cytoskeleton	Abl2	1	
GO:0015629_actin cytoskeleton	Abl2	1	
GO:0030027_lamellipodium	Abl2	1	
GO:0031234_extrinsic component of cytoplasmic side of plasma membrane	Abl2	1	
GO:0031410_cytoplasmic vesicle	Abl2	1	
GO:0043197_dendritic spine	Abl2	1	
GO:0005576_extracellular region	Scgb1b27	1	
GO:0005576_extracellular region	Scgb1b27	1	
GO:0005737_cytoplasm	Scgb1b27	1	
GO:0005739_mitochondrion	Acadl	1	
GO:0005739_mitochondrion	Acadl	1	
GO:0005759_mitochondrial matrix	Acadl	1	
GO:0031966_mitochondrial membrane	Acadl	1	
GO:0005634_nucleus	Acadm	1	
GO:0005739_mitochondrion	Acadm	1	
GO:0005739_mitochondrion	Acadm	1	
GO:0005759_mitochondrial matrix	Acadm	1	
GO:0016607_nuclear speck	Acadm	1	
GO:0030424_axon	Acadm	1	
GO:0031966_mitochondrial membrane	Acadm	1	
GO:0070062_extracellular exosome	Acadm	1	
GO:0005634_nucleus	Acadvl	1	
GO:0005730_nucleolus	Acadvl	1	
GO:0005739_mitochondrion	Acadvl	1	
GO:0005739_mitochondrion	Acadvl	1	
GO:0005743_mitochondrial inner membrane	Acadvl	1	
GO:0005829_cytosol	Acadvl	1	
GO:0016020_membrane	Acadvl	1	
GO:0042645_mitochondrial nucleoid	Acadvl	1	
GO:0005634_nucleus	Acads	1	
GO:0005654_nucleoplasm	Acads	1	
GO:0005739_mitochondrion	Acads	1	
GO:0005739_mitochondrion	Acads	1	
GO:0005759_mitochondrial matrix	Acads	1	
GO:0031966_mitochondrial membrane	Acads	1	
GO:0005783_endoplasmic reticulum	Slc33a1	1	
GO:0005887_integral component of plasma membrane	Slc33a1	1	
GO:0016020_membrane	Slc33a1	1	
GO:0016021_integral component of membrane	Slc33a1	1	
GO:0005886_plasma membrane	Asic2	1	
GO:0005887_integral component of plasma membrane	Asic2	1	
GO:0016020_membrane	Asic2	1	
GO:0016021_integral component of membrane	Asic2	1	
GO:0043005_neuron projection	Asic2	1	
GO:0043025_neuronal cell body	Asic2	1	
GO:0043197_dendritic spine	Asic2	1	
GO:0045202_synapse	Asic2	1	
GO:0005794_Golgi apparatus	Asic1	1	
GO:0005886_plasma membrane	Asic1	1	
GO:0005887_integral component of plasma membrane	Asic1	1	
GO:0005887_integral component of plasma membrane	Asic1	1	
GO:0009986_cell surface	Asic1	1	
GO:0016020_membrane	Asic1	1	
GO:0016021_integral component of membrane	Asic1	1	
GO:0043197_dendritic spine	Asic1	1	
GO:0043198_dendritic shaft	Asic1	1	
GO:0045202_synapse	Asic1	1	
GO:0045202_synapse	Asic1	1	
GO:0005576_extracellular region	Ace	1	
GO:0005615_extracellular space	Ace	1	
GO:0005737_cytoplasm	Ace	1	
GO:0005764_lysosome	Ace	1	
GO:0005768_endosome	Ace	1	
GO:0005886_plasma membrane	Ace	1	
GO:0005886_plasma membrane	Ace	1	
GO:0009897_external side of plasma membrane	Ace	1	
GO:0009925_basal plasma membrane	Ace	1	
GO:0016020_membrane	Ace	1	
GO:0016021_integral component of membrane	Ace	1	
GO:0031526_brush border membrane	Ace	1	
GO:0031982_vesicle	Ace	1	
GO:0070062_extracellular exosome	Ace	1	
GO:0097225_sperm midpiece	Ace	1	
GO:0005576_extracellular region	Ache	1	
GO:0005605_basal lamina	Ache	1	
GO:0005615_extracellular space	Ache	1	
GO:0005635_nuclear envelope	Ache	1	
GO:0005737_cytoplasm	Ache	1	
GO:0005788_endoplasmic reticulum lumen	Ache	1	
GO:0005791_rough endoplasmic reticulum	Ache	1	
GO:0005794_Golgi apparatus	Ache	1	
GO:0005886_plasma membrane	Ache	1	
GO:0005886_plasma membrane	Ache	1	
GO:0009986_cell surface	Ache	1	
GO:0009986_cell surface	Ache	1	
GO:0016020_membrane	Ache	1	
GO:0030054_cell junction	Ache	1	
GO:0030424_axon	Ache	1	
GO:0030425_dendrite	Ache	1	
GO:0031225_anchored component of membrane	Ache	1	
GO:0031594_neuromuscular junction	Ache	1	
GO:0042734_presynaptic membrane	Ache	1	
GO:0043005_neuron projection	Ache	1	
GO:0043025_neuronal cell body	Ache	1	
GO:0043083_synaptic cleft	Ache	1	
GO:0045202_synapse	Ache	1	
GO:0045202_synapse	Ache	1	
GO:0045211_postsynaptic membrane	Ache	1	
GO:0048471_perinuclear region of cytoplasm	Ache	1	
GO:0005576_extracellular region	Apoc4	1	
GO:0034361_very-low-density lipoprotein particle	Apoc4	1	
GO:0034361_very-low-density lipoprotein particle	Apoc4	1	
GO:0034364_high-density lipoprotein particle	Apoc4	1	
GO:0034364_high-density lipoprotein particle	Apoc4	1	
GO:0005737_cytoplasm	Macf1	1	
GO:0005794_Golgi apparatus	Macf1	1	
GO:0005856_cytoskeleton	Macf1	1	
GO:0005874_microtubule	Macf1	1	
GO:0005886_plasma membrane	Macf1	1	
GO:0005938_cell cortex	Macf1	1	
GO:0014069_postsynaptic density	Macf1	1	
GO:0015629_actin cytoskeleton	Macf1	1	
GO:0015630_microtubule cytoskeleton	Macf1	1	
GO:0016020_membrane	Macf1	1	
GO:0042995_cell projection	Macf1	1	
GO:0005737_cytoplasm	Aco1	1	
GO:0005737_cytoplasm	Aco1	1	
GO:0005739_mitochondrion	Aco1	1	
GO:0005739_mitochondrion	Aco1	1	
GO:0005783_endoplasmic reticulum	Aco1	1	
GO:0005794_Golgi apparatus	Aco1	1	
GO:0005829_cytosol	Aco1	1	
GO:0005829_cytosol	Aco1	1	
GO:0043231_intracellular membrane-bounded organelle	Aco1	1	
GO:0070062_extracellular exosome	Aco1	1	
GO:0005739_mitochondrion	Aco2	1	
GO:0005739_mitochondrion	Aco2	1	
GO:0043209_myelin sheath	Aco2	1	
GO:0005634_nucleus	Acox1	1	
GO:0005654_nucleoplasm	Acox1	1	
GO:0005730_nucleolus	Acox1	1	
GO:0005737_cytoplasm	Acox1	1	
GO:0005739_mitochondrion	Acox1	1	
GO:0005777_peroxisome	Acox1	1	
GO:0005777_peroxisome	Acox1	1	
GO:0005777_peroxisome	Acox1	1	
GO:0005778_peroxisomal membrane	Acox1	1	
GO:0005886_plasma membrane	Acox1	1	
GO:0016020_membrane	Acox1	1	
GO:0043231_intracellular membrane-bounded organelle	Acox1	1	
GO:0005737_cytoplasm	Acp1	1	
GO:0009898_cytoplasmic side of plasma membrane	Acp1	1	
GO:0070062_extracellular exosome	Acp1	1	
GO:0005764_lysosome	Acp2	1	
GO:0005764_lysosome	Acp2	1	
GO:0005764_lysosome	Acp2	1	
GO:0016020_membrane	Acp2	1	
GO:0016021_integral component of membrane	Acp2	1	
GO:0031410_cytoplasmic vesicle	Acp2	1	
GO:0043005_neuron projection	Acp2	1	
GO:0070062_extracellular exosome	Acp2	1	
GO:0005764_lysosome	Acp5	1	
GO:0005764_lysosome	Acp5	1	
GO:0001669_acrosomal vesicle	Acr	1	
GO:0001669_acrosomal vesicle	Acr	1	
GO:0005634_nucleus	Acr	1	
GO:0005798_Golgi-associated vesicle	Acr	1	
GO:0043159_acrosomal matrix	Acr	1	
GO:0043234_protein complex	Acr	1	
GO:0005623_cell	Chrna1	1	
GO:0005886_plasma membrane	Chrna1	1	
GO:0005886_plasma membrane	Chrna1	1	
GO:0005892_acetylcholine-gated channel complex	Chrna1	1	
GO:0005892_acetylcholine-gated channel complex	Chrna1	1	
GO:0009986_cell surface	Chrna1	1	
GO:0009986_cell surface	Chrna1	1	
GO:0016020_membrane	Chrna1	1	
GO:0016021_integral component of membrane	Chrna1	1	
GO:0030054_cell junction	Chrna1	1	
GO:0031594_neuromuscular junction	Chrna1	1	
GO:0031594_neuromuscular junction	Chrna1	1	
GO:0045202_synapse	Chrna1	1	
GO:0045211_postsynaptic membrane	Chrna1	1	
GO:0005886_plasma membrane	Chrna4	1	
GO:0005892_acetylcholine-gated channel complex	Chrna4	1	
GO:0005892_acetylcholine-gated channel complex	Chrna4	1	
GO:0005892_acetylcholine-gated channel complex	Chrna4	1	
GO:0009897_external side of plasma membrane	Chrna4	1	
GO:0016020_membrane	Chrna4	1	
GO:0016020_membrane	Chrna4	1	
GO:0016021_integral component of membrane	Chrna4	1	
GO:0030054_cell junction	Chrna4	1	
GO:0030425_dendrite	Chrna4	1	
GO:0043025_neuronal cell body	Chrna4	1	
GO:0045202_synapse	Chrna4	1	
GO:0045211_postsynaptic membrane	Chrna4	1	
GO:0005886_plasma membrane	Chrna6	1	
GO:0005892_acetylcholine-gated channel complex	Chrna6	1	
GO:0005892_acetylcholine-gated channel complex	Chrna6	1	
GO:0016020_membrane	Chrna6	1	
GO:0016021_integral component of membrane	Chrna6	1	
GO:0030054_cell junction	Chrna6	1	
GO:0045202_synapse	Chrna6	1	
GO:0045211_postsynaptic membrane	Chrna6	1	
GO:0005737_cytoplasm	Chrna7	1	
GO:0005886_plasma membrane	Chrna7	1	
GO:0005892_acetylcholine-gated channel complex	Chrna7	1	
GO:0009897_external side of plasma membrane	Chrna7	1	
GO:0014069_postsynaptic density	Chrna7	1	
GO:0016020_membrane	Chrna7	1	
GO:0016021_integral component of membrane	Chrna7	1	
GO:0016324_apical plasma membrane	Chrna7	1	
GO:0030054_cell junction	Chrna7	1	
GO:0030424_axon	Chrna7	1	
GO:0030425_dendrite	Chrna7	1	
GO:0030426_growth cone	Chrna7	1	
GO:0030673_axolemma	Chrna7	1	
GO:0032279_asymmetric synapse	Chrna7	1	
GO:0042734_presynaptic membrane	Chrna7	1	
GO:0043025_neuronal cell body	Chrna7	1	
GO:0043197_dendritic spine	Chrna7	1	
GO:0043198_dendritic shaft	Chrna7	1	
GO:0045121_membrane raft	Chrna7	1	
GO:0045202_synapse	Chrna7	1	
GO:0045211_postsynaptic membrane	Chrna7	1	
GO:0098793_presynapse	Chrna7	1	
GO:0005886_plasma membrane	Chrnb1	1	
GO:0005892_acetylcholine-gated channel complex	Chrnb1	1	
GO:0005892_acetylcholine-gated channel complex	Chrnb1	1	
GO:0016020_membrane	Chrnb1	1	
GO:0016021_integral component of membrane	Chrnb1	1	
GO:0030054_cell junction	Chrnb1	1	
GO:0045202_synapse	Chrnb1	1	
GO:0045211_postsynaptic membrane	Chrnb1	1	
GO:0005886_plasma membrane	Chrnb2	1	
GO:0005886_plasma membrane	Chrnb2	1	
GO:0005892_acetylcholine-gated channel complex	Chrnb2	1	
GO:0005892_acetylcholine-gated channel complex	Chrnb2	1	
GO:0009897_external side of plasma membrane	Chrnb2	1	
GO:0016020_membrane	Chrnb2	1	
GO:0016021_integral component of membrane	Chrnb2	1	
GO:0030054_cell junction	Chrnb2	1	
GO:0044853_plasma membrane raft	Chrnb2	1	
GO:0045202_synapse	Chrnb2	1	
GO:0045211_postsynaptic membrane	Chrnb2	1	
GO:0005886_plasma membrane	Chrnd	1	
GO:0005892_acetylcholine-gated channel complex	Chrnd	1	
GO:0005892_acetylcholine-gated channel complex	Chrnd	1	
GO:0005892_acetylcholine-gated channel complex	Chrnd	1	
GO:0016020_membrane	Chrnd	1	
GO:0016021_integral component of membrane	Chrnd	1	
GO:0030054_cell junction	Chrnd	1	
GO:0045202_synapse	Chrnd	1	
GO:0045211_postsynaptic membrane	Chrnd	1	
GO:0005886_plasma membrane	Chrne	1	
GO:0005892_acetylcholine-gated channel complex	Chrne	1	
GO:0005892_acetylcholine-gated channel complex	Chrne	1	
GO:0016020_membrane	Chrne	1	
GO:0016021_integral component of membrane	Chrne	1	
GO:0030054_cell junction	Chrne	1	
GO:0045202_synapse	Chrne	1	
GO:0045211_postsynaptic membrane	Chrne	1	
GO:0005886_plasma membrane	Chrng	1	
GO:0005892_acetylcholine-gated channel complex	Chrng	1	
GO:0005892_acetylcholine-gated channel complex	Chrng	1	
GO:0016020_membrane	Chrng	1	
GO:0016021_integral component of membrane	Chrng	1	
GO:0030054_cell junction	Chrng	1	
GO:0045202_synapse	Chrng	1	
GO:0045211_postsynaptic membrane	Chrng	1	
GO:0005576_extracellular region	Adipoq	1	
GO:0005581_collagen trimer	Adipoq	1	
GO:0005615_extracellular space	Adipoq	1	
GO:0005615_extracellular space	Adipoq	1	
GO:0005783_endoplasmic reticulum	Adipoq	1	
GO:0009986_cell surface	Adipoq	1	
GO:0043234_protein complex	Adipoq	1	
GO:0070062_extracellular exosome	Adipoq	1	
GO:0001669_acrosomal vesicle	Acrv1	1	
GO:0001725_stress fiber	Acta1	1	
GO:0005615_extracellular space	Acta1	1	
GO:0005737_cytoplasm	Acta1	1	
GO:0005856_cytoskeleton	Acta1	1	
GO:0005865_striated muscle thin filament	Acta1	1	
GO:0005865_striated muscle thin filament	Acta1	1	
GO:0005884_actin filament	Acta1	1	
GO:0015629_actin cytoskeleton	Acta1	1	
GO:0030017_sarcomere	Acta1	1	
GO:0043234_protein complex	Acta1	1	
GO:0070062_extracellular exosome	Acta1	1	
GO:0072562_blood microparticle	Acta1	1	
GO:0000790_nuclear chromatin	Actb	1	
GO:0001725_stress fiber	Actb	1	
GO:0002102_podosome	Actb	1	
GO:0005615_extracellular space	Actb	1	
GO:0005737_cytoplasm	Actb	1	
GO:0005829_cytosol	Actb	1	
GO:0005856_cytoskeleton	Actb	1	
GO:0005925_focal adhesion	Actb	1	
GO:0014069_postsynaptic density	Actb	1	
GO:0016020_membrane	Actb	1	
GO:0030424_axon	Actb	1	
GO:0030529_intracellular ribonucleoprotein complex	Actb	1	
GO:0030863_cortical cytoskeleton	Actb	1	
GO:0031982_vesicle	Actb	1	
GO:0035267_NuA4 histone acetyltransferase complex	Actb	1	
GO:0036464_cytoplasmic ribonucleoprotein granule	Actb	1	
GO:0043209_myelin sheath	Actb	1	
GO:0043234_protein complex	Actb	1	
GO:0045121_membrane raft	Actb	1	
GO:0070062_extracellular exosome	Actb	1	
GO:0072562_blood microparticle	Actb	1	
GO:0005615_extracellular space	Actc1	1	
GO:0005737_cytoplasm	Actc1	1	
GO:0005856_cytoskeleton	Actc1	1	
GO:0005884_actin filament	Actc1	1	
GO:0005925_focal adhesion	Actc1	1	
GO:0016020_membrane	Actc1	1	
GO:0030017_sarcomere	Actc1	1	
GO:0031674_I band	Actc1	1	
GO:0042643_actomyosin, actin portion	Actc1	1	
GO:0070062_extracellular exosome	Actc1	1	
GO:0072562_blood microparticle	Actc1	1	
GO:0005615_extracellular space	Actg1	1	
GO:0005634_nucleus	Actg1	1	
GO:0005737_cytoplasm	Actg1	1	
GO:0005856_cytoskeleton	Actg1	1	
GO:0015629_actin cytoskeleton	Actg1	1	
GO:0016020_membrane	Actg1	1	
GO:0030016_myofibril	Actg1	1	
GO:0031012_extracellular matrix	Actg1	1	
GO:0031941_filamentous actin	Actg1	1	
GO:0043034_costamere	Actg1	1	
GO:0043209_myelin sheath	Actg1	1	
GO:0070062_extracellular exosome	Actg1	1	
GO:0072562_blood microparticle	Actg1	1	
GO:0005615_extracellular space	Actg2	1	
GO:0005737_cytoplasm	Actg2	1	
GO:0005856_cytoskeleton	Actg2	1	
GO:0070062_extracellular exosome	Actg2	1	
GO:0071944_cell periphery	Actg2	1	
GO:0072562_blood microparticle	Actg2	1	
GO:0001673_male germ cell nucleus	Actl7a	1	
GO:0005634_nucleus	Actl7a	1	
GO:0005737_cytoplasm	Actl7a	1	
GO:0005794_Golgi apparatus	Actl7a	1	
GO:0005856_cytoskeleton	Actl7a	1	
GO:0031514_motile cilium	Actl7a	1	
GO:0043234_protein complex	Actl7a	1	
GO:0005737_cytoplasm	Actl7b	1	
GO:0005856_cytoskeleton	Actl7b	1	
GO:0005737_cytoplasm	Actn2	1	
GO:0005865_striated muscle thin filament	Actn2	1	
GO:0005886_plasma membrane	Actn2	1	
GO:0005925_focal adhesion	Actn2	1	
GO:0030017_sarcomere	Actn2	1	
GO:0030018_Z disc	Actn2	1	
GO:0030018_Z disc	Actn2	1	
GO:0030175_filopodium	Actn2	1	
GO:0030864_cortical actin cytoskeleton	Actn2	1	
GO:0070062_extracellular exosome	Actn2	1	
GO:0005622_intracellular	Actn3	1	
GO:0005865_striated muscle thin filament	Actn3	1	
GO:0005903_brush border	Actn3	1	
GO:0030017_sarcomere	Actn3	1	
GO:0030018_Z disc	Actn3	1	
GO:0005615_extracellular space	Acta2	1	
GO:0005737_cytoplasm	Acta2	1	
GO:0005737_cytoplasm	Acta2	1	
GO:0005856_cytoskeleton	Acta2	1	
GO:0015629_actin cytoskeleton	Acta2	1	
GO:0015629_actin cytoskeleton	Acta2	1	
GO:0030485_smooth muscle contractile fiber	Acta2	1	
GO:0070062_extracellular exosome	Acta2	1	
GO:0005887_integral component of plasma membrane	Acvr1	1	
GO:0005887_integral component of plasma membrane	Acvr1	1	
GO:0016020_membrane	Acvr1	1	
GO:0016021_integral component of membrane	Acvr1	1	
GO:0045177_apical part of cell	Acvr1	1	
GO:0048179_activin receptor complex	Acvr1	1	
GO:0005829_cytosol	Acvr1b	1	
GO:0005886_plasma membrane	Acvr1b	1	
GO:0005887_integral component of plasma membrane	Acvr1b	1	
GO:0005887_integral component of plasma membrane	Acvr1b	1	
GO:0009986_cell surface	Acvr1b	1	
GO:0016020_membrane	Acvr1b	1	
GO:0016021_integral component of membrane	Acvr1b	1	
GO:0043235_receptor complex	Acvr1b	1	
GO:0048179_activin receptor complex	Acvr1b	1	
GO:0070062_extracellular exosome	Acvr1b	1	
GO:0005737_cytoplasm	Acvr2a	1	
GO:0009986_cell surface	Acvr2a	1	
GO:0016020_membrane	Acvr2a	1	
GO:0016021_integral component of membrane	Acvr2a	1	
GO:0034673_inhibin-betaglycan-ActRII complex	Acvr2a	1	
GO:0043235_receptor complex	Acvr2a	1	
GO:0005737_cytoplasm	Acvr2b	1	
GO:0005886_plasma membrane	Acvr2b	1	
GO:0016020_membrane	Acvr2b	1	
GO:0016021_integral component of membrane	Acvr2b	1	
GO:0043234_protein complex	Acvr2b	1	
GO:0043235_receptor complex	Acvr2b	1	
GO:0005886_plasma membrane	Acvrl1	1	
GO:0005887_integral component of plasma membrane	Acvrl1	1	
GO:0009986_cell surface	Acvrl1	1	
GO:0016020_membrane	Acvrl1	1	
GO:0016021_integral component of membrane	Acvrl1	1	
GO:0030425_dendrite	Acvrl1	1	
GO:0043025_neuronal cell body	Acvrl1	1	
GO:0005634_nucleus	Aspa	1	
GO:0005737_cytoplasm	Aspa	1	
GO:0005829_cytosol	Aspa	1	
GO:0005829_cytosol	Aspa	1	
GO:0070062_extracellular exosome	Aspa	1	
GO:0005615_extracellular space	Ada	1	
GO:0005737_cytoplasm	Ada	1	
GO:0005737_cytoplasm	Ada	1	
GO:0005764_lysosome	Ada	1	
GO:0005886_plasma membrane	Ada	1	
GO:0009897_external side of plasma membrane	Ada	1	
GO:0009986_cell surface	Ada	1	
GO:0016020_membrane	Ada	1	
GO:0030054_cell junction	Ada	1	
GO:0031410_cytoplasmic vesicle	Ada	1	
GO:0032839_dendrite cytoplasm	Ada	1	
GO:0043025_neuronal cell body	Ada	1	
GO:0005615_extracellular space	Adam10	1	
GO:0005634_nucleus	Adam10	1	
GO:0005737_cytoplasm	Adam10	1	
GO:0005794_Golgi apparatus	Adam10	1	
GO:0005798_Golgi-associated vesicle	Adam10	1	
GO:0005802_trans-Golgi network	Adam10	1	
GO:0005886_plasma membrane	Adam10	1	
GO:0005925_focal adhesion	Adam10	1	
GO:0009986_cell surface	Adam10	1	
GO:0014069_postsynaptic density	Adam10	1	
GO:0016020_membrane	Adam10	1	
GO:0016021_integral component of membrane	Adam10	1	
GO:0070062_extracellular exosome	Adam10	1	
GO:0097038_perinuclear endoplasmic reticulum	Adam10	1	
GO:0097197_tetraspanin-enriched microdomain	Adam10	1	
GO:0016020_membrane	Adam11	1	
GO:0016021_integral component of membrane	Adam11	1	
GO:0005615_extracellular space	Adam12	1	
GO:0005654_nucleoplasm	Adam12	1	
GO:0005886_plasma membrane	Adam12	1	
GO:0016020_membrane	Adam12	1	
GO:0016021_integral component of membrane	Adam12	1	
GO:0005615_extracellular space	Adam15	1	
GO:0009986_cell surface	Adam15	1	
GO:0016020_membrane	Adam15	1	
GO:0016021_integral component of membrane	Adam15	1	
GO:0030054_cell junction	Adam15	1	
GO:0031410_cytoplasmic vesicle	Adam15	1	
GO:0042995_cell projection	Adam15	1	
GO:0070062_extracellular exosome	Adam15	1	
GO:0005576_extracellular region	Adam17	1	
GO:0005615_extracellular space	Adam17	1	
GO:0005737_cytoplasm	Adam17	1	
GO:0005737_cytoplasm	Adam17	1	
GO:0005829_cytosol	Adam17	1	
GO:0005886_plasma membrane	Adam17	1	
GO:0005887_integral component of plasma membrane	Adam17	1	
GO:0005911_cell-cell junction	Adam17	1	
GO:0005925_focal adhesion	Adam17	1	
GO:0009986_cell surface	Adam17	1	
GO:0015629_actin cytoskeleton	Adam17	1	
GO:0016020_membrane	Adam17	1	
GO:0016020_membrane	Adam17	1	
GO:0016021_integral component of membrane	Adam17	1	
GO:0016324_apical plasma membrane	Adam17	1	
GO:0032587_ruffle membrane	Adam17	1	
GO:0045121_membrane raft	Adam17	1	
GO:0005794_Golgi apparatus	Adam19	1	
GO:0009897_external side of plasma membrane	Adam19	1	
GO:0016020_membrane	Adam19	1	
GO:0016021_integral component of membrane	Adam19	1	
GO:0001669_acrosomal vesicle	Adam2	1	
GO:0009986_cell surface	Adam2	1	
GO:0016020_membrane	Adam2	1	
GO:0016021_integral component of membrane	Adam2	1	
GO:0016020_membrane	Adam22	1	
GO:0016021_integral component of membrane	Adam22	1	
GO:0030424_axon	Adam22	1	
GO:0042995_cell projection	Adam22	1	
GO:0009986_cell surface	Adam3	1	
GO:0045121_membrane raft	Adam3	1	
GO:0016020_membrane	Adam5	1	
GO:0016021_integral component of membrane	Adam5	1	
GO:0005886_plasma membrane	Adam7	1	
GO:0016020_membrane	Adam7	1	
GO:0016021_integral component of membrane	Adam7	1	
GO:0045177_apical part of cell	Adam7	1	
GO:0002102_podosome	Adam8	1	
GO:0002102_podosome	Adam8	1	
GO:0005737_cytoplasm	Adam8	1	
GO:0005886_plasma membrane	Adam8	1	
GO:0005886_plasma membrane	Adam8	1	
GO:0005887_integral component of plasma membrane	Adam8	1	
GO:0009986_cell surface	Adam8	1	
GO:0016020_membrane	Adam8	1	
GO:0016021_integral component of membrane	Adam8	1	
GO:0032010_phagolysosome	Adam8	1	
GO:0032127_dense core granule membrane	Adam8	1	
GO:0042581_specific granule	Adam8	1	
GO:0070820_tertiary granule	Adam8	1	
GO:0071065_alpha9-beta1 integrin-vascular cell adhesion molecule-1 complex	Adam8	1	
GO:0071133_alpha9-beta1 integrin-ADAM8 complex	Adam8	1	
GO:0005615_extracellular space	Adam9	1	
GO:0005615_extracellular space	Adam9	1	
GO:0005615_extracellular space	Adam9	1	
GO:0005737_cytoplasm	Adam9	1	
GO:0005886_plasma membrane	Adam9	1	
GO:0005925_focal adhesion	Adam9	1	
GO:0009986_cell surface	Adam9	1	
GO:0009986_cell surface	Adam9	1	
GO:0016020_membrane	Adam9	1	
GO:0016021_integral component of membrane	Adam9	1	
GO:0016323_basolateral plasma membrane	Adam9	1	
GO:0031233_intrinsic component of external side of plasma membrane	Adam9	1	
GO:0070062_extracellular exosome	Adam9	1	
GO:0005576_extracellular region	Adamts1	1	
GO:0005578_proteinaceous extracellular matrix	Adamts1	1	
GO:0005604_basement membrane	Adamts1	1	
GO:0005829_cytosol	Adamts1	1	
